id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-07-04-000349-c;UA-2016-07-04-000349-c-L1;04.07.2016;4052301;39417349;30197630-1 Папір для друку;Папір офісний формату А-4;Допорогова закупівля;Допороги;2;10000;7479;7278;120;пачок
UA-2016-07-04-000226-c;UA-2016-07-04-000226-c-L1;04.07.2016;1998489;25394112;22990000-6 Газетний папір, папір ручного виготовлення та інший некрейдований папір або картон для графічних цілей;Папір А4;Допорогова закупівля;Допороги;2;29976;20976;20524;335;штуки
UA-2016-07-05-000712-c;UA-2016-07-05-000712-c-L1;05.07.2016;39761545;3302719614;22000000-0 Друкована та супутня продукція;"папір формат -А-4; щільність -80 г/м. кв; в вартість товару повинні бути включені всі витрати на завантаження, розвантаження, постачання та доставку";Допорогова закупівля;Допороги;3;3000;2747;2600;45;пачка
UA-2016-07-05-000089-a;UA-2016-07-05-000089-a-L1;05.07.2016;8562915;39417349;30197630-1 Папір для друку;Папір офісний А4 для оргтехніки;Допорогова закупівля;Допороги;2;3060;2778;2687;45;пачок
UA-2016-07-05-000367-c;UA-2016-07-05-000367-c-L1;05.07.2016;1993865;25394112;30197630-1 Папір для друку;"Папір офісний формату А4 –  355 упаковок по 500 аркушів. Клас С
Детальна інформація наведена в додатках до оголошення:
Додаток №1 - Технічні (якісні) вимоги до товару.
Додаток № 2 – Вимоги до кваліфікації учасника.
Додаток №3 – Проект договору про закупівлю.
Додаток № 4 – Форма цінової пропозиції.";Допорогова закупівля;Допороги;2;25000;22237;21726;355;упаковка
UA-2016-07-06-000058-b;UA-2016-07-06-000058-b-L1;06.07.2016;40302133;33327611;30197630-1 Папір для друку;папір формату А-4;Допорогова закупівля;Допороги;5;80000;72808;62164;1159;пачок
UA-2016-07-06-000149-c;UA-2016-07-06-000149-c-L1;06.07.2016;2007265;25394112;30197630-1 Папір для друку;Папір формату А4 (210мм х 297 мм);Допорогова закупівля;Допороги;3;8750;7650;7493;125;пачок
UA-2016-07-06-000370-b;UA-2016-07-06-000370-b-L1;06.07.2016;34363933;2521815651;30197630-1 Папір для друку;Папір А-4;Допорогова закупівля;Допороги;2;4000;3450;3450;55;штуки
UA-2016-07-06-000417-b;UA-2016-07-06-000417-b-L1;06.07.2016;37454258;39417349;30197630-1 Папір для друку;Папір А4 500 аркушів  80 г/м;Допорогова закупівля;Допороги;3;4800;4000;3899;65;пачок
UA-2016-07-06-000301-c;UA-2016-07-06-000301-c-L1;06.07.2016;38458892;23863399;30197643-5 Папір для фотокопіювання;Папір офісний формату А4 ,який повинен відповідати діючим стандартам,технічним умовам;Допорогова закупівля;Допороги;2;3750;3249;3023;50;пачок
